station_number,station_name_english,stn_name_heb,first_data_date,last_data_date
131250,MIKHMORET,מכמורת,1958-09,2002-03
131280,JATT,ג'ת,1972-10,1999-05
131282,JATT,ג'ת,1999-09,2024-04
131290,SEDE YIZHAQ,שדה יצחק,1960-09,1967-01
131300,GIVAT HAIYYIM IHUD SCHOOL,"גבעת חיים איחוד בי""""ס",1953-09,1961-05
131350,GIVAT HAIYYIM IHUD,גבעת חיים איחוד,1958-09,1961-05
131400,GIVAT HAYYIM IHUD FARM,גבעת חיים איחוד משק,1953-09,1971-01
131450,LAHAVOT HAVIVA,להבות חביבה,1950-09,1993-05
131451,LAHAVOT HAVIVA,להבות חביבה,1994-09,2024-04
131470,JATT,ג'ת,1961-09,1964-05
131500,KEFAR HAROE,כפר הראה,1952-03,1975-05
131501,KEFAR HAROE,כפר הרואה,1975-10,1978-05
131502,KEFAR HAROE,כפר הרואה,1978-09,2024-04
131550,GIVAT HAYYIM MEUHAD,גבעת חיים מאוחד,1937-09,1994-05
131551,GIVAT HAYYIM MEUHAD,גבעת חיים מאוחד,1996-09,2002-05
131598,EN HAHORESH,עין החורש,2004-09,2024-04
131599,EN HAHORESH MAN,עין החורש מאוישת,1975-09,2024-04
131600,EN HAHORESH,עין החורש,1937-09,1969-05
131601,EN HAHORESH,עין החורש,1969-09,1975-05
131640,NE'URIM,נעורים,1998-09,2010-05
131645,BEIT YANAI,בית ינאי,2017-04,2024-04
131650,KEFAR VITKIN,כפר ויתקין,1936-09,1964-01
131700,HAMA'PIL,המעפיל,1947-09,1981-01
131750,MAGGAL,מגל,1954-09,1974-05
131751,MAGGAL,מגל,1974-09,1994-05
131752,MAGGAL,מגל,1994-09,2024-04
131760,OMEZ,אומץ,1983-09,2006-05
131780,GAN SHEMU'EL ZEITA,גן שמואל - זיתא,1960-09,1962-05
131800,MA'BAROT,מעברות,1938-09,2006-05
131801,MA'BAROT,מעברות,2006-09,2024-04
131850,HAOGEN,העוגן,1953-09,1978-11
131900,QAQUN,קאקון,1945-09,1948-05
131950,BIR ES SIKKA,ביר א-סכה,1954-03,1958-05
132050,MISHMAR HASHARON,משמר השרון,1932-09,1968-11
132100,BET HALEWI,בית הלוי,1949-09,1963-02
132150,BAHAN,בחן,1955-09,1988-05
132151,BAHAN,בחן,1989-09,2000-05
132200,AVIHAYIL,אביחיל,1951-09,1964-05
132201,AVIHAYIL,אביחיל,1964-12,1969-05
132249,MIDRESHET RUPPIN,מדרשת רופין,1966-10,1971-05
132250,MIDRESHET RUPPIN,מדרשת רופין,1949-09,1998-11
132251,EMEQ HEFER SCHOOL,עמק חפר - בית ספר,1958-09,1972-05
132300,NETANYA,נתניה,1954-09,1969-05
132301,NETANYA,נתניה,1969-09,1978-05
132302,NETANYA,נתניה,1969-10,2011-04
132350,NATANYA MET STATION,נתניה תח מטאורולוגית,1933-09,1961-05
132400,NETANYA MUNCIPALITY,נתניה עיריה,1939-06,1942-03
132430,BE'EROTAYIM,בארותיים,2003-09,2024-04
132450,YAD HANNA MEUHAD,יד חנה מאוחד,1954-09,1968-05
132470,BET YIZHAQ,בית יצחק,1960-10,2001-05
132475,BET YIZHAQ,בית יצחק,2001-09,2024-04
132500,BURGATA,בורגתה,1956-09,1965-05
132550,YAD HANNA,יד חנה,1953-09,1965-05
132551,YAD HANNA,יד חנה,1965-09,2024-04
132600,NORDIYYA,נורדייה,1955-09,1988-01
132601,NORDIYYA,נורדייה,1992-09,1998-05
132650,KEFAR YONA,כפר יונה,1939-12,1970-05
132660,NETANYA DORA,נתניה דורה,1962-09,1968-05
132670,GE'ULIM,גאולים,1961-09,1962-05
132700,ILANOT,אילנות,1949-09,1985-10
132750,KADIMA - RASKO PLANTATIONS,קדימה - מטעי רסקו,1955-09,1969-05
132850,TEL ZUR,תל צור,1939-01,1974-05
132900,QADIMA,קדימה,1940-09,1945-05
132905,QADIMA,קדימה,1983-10,2024-04
132950,QALANSAWE,קלנסווה,1951-09,1963-05
133000,EVEN YEHUDA,אבן יהודה,1936-09,1967-11
133050,KEFAR YA'BEZ,כפר יעבץ,1948-09,1952-05
133100,TAYIBE,טייבה,1945-01,1963-05
133101,TAYIBE,טייבה,1963-09,1975-05
133103,TAYIBE SCHOOL,טייבה בית ספר ה',1970-10,1972-05
133150,BET YEHOSHUA,בית יהושע,1943-09,1949-05
133169,TEL MOND JAIL,תל מונד בית סהר,1973-10,1974-05
133170,TEL MOND JAIL,תל מונד בית סהר,1963-09,1971-12
133200,BENE DEROR,בני דרור,1948-09,2024-04
133250,EN WERED,עין ורד,1959-09,1983-05
133252,EN WERED,עין ורד,1979-09,1985-12
133260,WINGATE INSTITUE,מכון וינגייט,1996-09,2024-04
133299,YAQUM,יקום,1985-10,1998-05
133300,YAQUM,יקום,1959-09,1978-09
133301,YAQUM,יקום,1978-10,1985-05
133302,YAQUM,יקום,1998-09,2024-04
133350,NEWE HADASSA,נוה הדסה,1950-09,1953-05
133399,TEL YIZHAQ,תל יצחק,1973-10,2024-04
133400,TEL YIZHAQ,תל יצחק,1939-11,1973-05
133450,TEL MOND,תל מונד,1930-10,1949-05
133500,KEFAR HESS,כפר הס,1953-09,2024-04
133530,ZUR NATAN,צור נתן,1966-09,1989-05
133540,SAL'IT,סלעית,2005-09,2024-04
133550,HERUT,חירות,1936-09,1991-05
133551,HERUT,חירות,1991-09,2013-02
133570,TIRE,טירה,1962-09,1966-10
133600,TIRE,טירה,1952-09,1954-05
133649,GA'ASH,געש,1997-09,2024-04
133650,GA'ASH,געש,1950-09,1978-05
133651,GA'ASH,געש,1978-09,1997-05
133700,GA'ASH - GAN LITWINSKY,געש - גן ליטוינסקי,1937-09,1964-12
133740,SHEFAYIM - WEST,שפיים - מערב,1965-10,1996-10
133741,SHEFAYIM - WEST,שפיים - מערב,1996-09,2000-05
133742,SHEFAYIM - WEST,שפיים  מערב,2000-09,2024-04
133750,SHEFAYIM,שפיים,1948-09,1973-05
133751,SHEFAYIM,שפיים,1971-10,1980-05
133752,SHEFAYIM,שפיים,1980-10,1987-05
133753,SHEFAYIM,שפיים,1987-09,1988-10
133754,SHEFAYIM,שפיים,1996-09,2024-04
133770,BAZRA,בצרה,1987-09,1997-05
133775,TEL MOND YAKHIN,תל מונד יכין,1972-09,1996-11
133779,RAMAT HAKOVESH,רמת הכובש,1970-09,2004-10
133780,RAMAT HAKOVESH,רמת הכובש,1939-09,1970-05
133781,RAMAT HAKOVESH,רמת הכובש,2004-11,2017-07
133782,RAMAT HAKOVESH,רמת הכובש,2017-08,2024-04
133800,GAN HAYYIM GROVE,גן חיים פרדס,1932-09,2000-05
133850,EYAL,אייל,1951-09,2024-04
133870,SEDE WARBURG,שדה ורבורג,1965-10,1999-05
133871,SEDE WARBURG,שדה ורבורג,1999-09,2024-04
133900,RISHPON,רשפון,1939-09,1998-12
133950,KALMANIYYA,קלמניה,1929-09,1945-05
133970,BET BERL,בית ברל,1960-10,2012-05
133980,TZOFIM,צופים,2023-12,2024-04
134000,NIR ELIYYAHU,ניר אליהו,1951-09,1976-05
134001,NIR ELIYYAHU,ניר אליהו,1976-09,2024-04
134040,KEFAR SAVA - BEN ZVI SCH.,"כפר סבא -  בי""""ס בן צבי",1964-10,1968-11
134060,HERZLIYYA NOF YAM,הרצליה - נוף ים,1973-09,1993-05
134100,KEFAR SHEMARYAHU,כפר שמריהו,1945-09,2018-06
134101,KEFAR SHEMARYAHU,כפר שמריהו,2020-09,2024-04
134110,HERZLIYA BET,הרצליה ב',2018-08,2023-06
134130,RA'ANNANA EAST,רעננה מזרח,1965-10,2005-12
134150,RA'ANNANA WEST,רעננה מערב,1950-09,1985-05
134200,KEFAR SAVA MISRAHI SCHOOL,"כפר סבא -  בי""""ס מזרחי",1949-09,1954-05
134250,KEFAR SAVA SCHOOL,"כפר סבא -  בי""""ס ביאליק",1932-09,1952-05
134255,KEFAR SAVA,כפר סבא,1999-09,2001-10
134265,RA'ANNANA EAST,רעננה מזרח,2007-09,2018-06
134300,GELIL YAM,גליל ים,1948-09,1969-05
134350,HERZLIYYA WEIZMAN SCHOOL,"הרצלייה בי""""ס וייצמן",1952-09,1974-03
134351,HERZLIYYA SCHOOL,"הרצלייה בי""""ס",1928-09,1950-05
134400,RAMOT HASHAVIM,רמות השבים,1959-12,2007-12
134500,KEFAR MALAL,"כפר מל""""ל",1934-09,1963-05
134550,MAGDIEL,הוד השרון מגדיאל,1929-09,1958-05
134570,SEDE HEMED,שדי חמד,1963-10,1965-05
134575,HERZLIYYA RAZIEL SCH,"הרצלייה בי""""ס דוד רזיאל",1967-02,1973-05
134580,HOD HA SHARON,הוד השרון רמתיים,1948-09,1969-05
134600,HADAR,הוד השרון הדר,1932-09,1954-05
134650,JALJULYA,ג'לג'וליה,1952-09,1958-05
134651,JALJULYA,ג'לג'וליה,1970-10,1975-05
134700,RAMAT HASHARON,רמת השרון,1933-09,1984-05
134730,ADANIM,עדנים,1969-10,1970-05
134731,ADANIM,עדנים,1970-09,2024-04
134750,RAMAT HASHARON SCHOOL,"רמת השרון בי""""ס",1945-09,1960-01
134770,HAKEFAR HAYAROK,הכפר הירוק,1961-09,1976-01
134771,HAKEFAR HAYAROK MAN,הכפר הירוק ידני,2021-08,2022-05
134800,HORESHIM,חורשים,1955-09,1972-10
134801,HORESHIM,חורשים,1974-10,1975-05
134802,HORESHIM,חורשים,1975-10,1996-05
134803,HORESHIM,חורשים,1996-09,1999-05
134804,HORESHIM,חורשים,1999-09,2024-04
134830,SHA'ARE TIQWA,שערי תקווה,2008-10,2011-06
134840,HAKEFAR HAYAROK,הכפר הירוק,2002-09,2024-04
134850,TEL AVIV - QIRYAT SHAUL,תל אביב - קריית שאול,1944-09,2016-07
134870,TEL AVIV - ZAHALA,תל אביב - צהלה,1960-10,1968-05
134880,RAMAT HASHARON - NEWE MAGEN,רמת השרון - נוה מגן,1962-09,1968-05
134900,KAFAR QASEM,כפר קאסם,1945-01,1963-09
134940,TEL AVIV SEDE DOV,תל אביב -שדה דב,1970-09,1994-05
134945,TEL AVIV SEDE DOV,תל אביב -שדה דב,1994-09,2004-12
134950,TEL AVIV READING,תל אביב רדינג,1939-09,1972-05
135000,ROSH HAAYIN PUMP. STATION,ראש העין תחנת שאיבה,1938-12,1952-05
135010,YARQON GAN LEUMI,ירקון גן לאומי,2000-12,2024-04
135050,TEL AVIV PORT,תל אביב נמל,1951-09,1966-05
135100,PETAH TIQWA - KEFAR AVRAHAM,פתח תקווה- כפר אברהם,1939-12,1950-05
135150,GIV'AT HASHELOSHA,גבעת השלושה,1933-09,1956-04
135160,ROSH HAAYIN MEKOROT,ראש העין - מקורות,1989-10,2024-04
135200,BENE BERAQ,בני ברק,1943-09,1944-05
135250,PETAH TIQWA OLD PICA SCH.,פתח תקווה בית ספר פיקא (ישן),1921-09,1955-05
135251,PETAH TIQWA PICA SCH.,"פתח תקווה  בי""""ס פיקא",1955-09,1976-05
135252,PETAH TIQWA HESS SCH.,"פתח תקוה בי""""ס הס",1962-09,1973-10
135260,PETAH TIQWA PICA STREET,פתח תקוה רחוב פיקא,1956-12,1967-03
135270,TEL AVIV MUNICIPALITY,תל אביב עיריה,1994-09,2002-10
135300,TEL AVIV NORTH,תל אביב צפון,1933-09,1951-05
135350,RAMAT GAN YAHALOM SCH.,"רמת גן בי""""ס יהלום",1937-10,1948-05
135400,RAMAT GAN ORA SCHOOL,"רמת גן בי""""ס אורה",1957-12,1959-05
135450,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1955-12,1962-05
135451,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1962-09,1974-10
135452,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1965-10,2010-05
135496,ENAT,עינת,1999-09,2024-04
135497,ENAT,עינת,1997-09,1999-05
135498,ENAT,עינת,1988-09,1997-05
135499,ENAT,עינת,1975-09,1988-05
135500,ENAT,עינת,1952-09,1972-05
135550,TEL AVIV OLD MUNICIPALITY,תל אביב בית העיריה הישן,1944-09,1945-05
